,X,Y,sigma_X,sigma_Y,Z,u,v,sigma_u,sigma_v,h,k,l,n,d_hkl,lambda_exp,lambda_the,lambda_error
0,0.0,0.0,0.0,0.0,1e-308,0.0,0.0,,,0,0,2,4,271.55,0.0,543.1,100.0
1,-6.628086893598652,6.193557419796168,0.8935424911905463,1.0508512509631374,2.1566785304872695,-3.0732845901243953,2.8718037168000303,0.5520201710910018,0.48739492457857847,-3,3,1,19,124.59568506510209,57.63698077608531,57.16842105263158,0.8196128471387282
2,6.511083472574152,6.993570849831649,1.2313846763038596,1.1441191289201371,2.379014726390558,2.7368823741804955,2.939692122226707,0.5295264612912115,0.5653240580941229,3,3,1,19,124.59568506510209,60.2039482502808,57.16842105263158,5.309797160314421
3,-6.169146426360693,-6.564855921062264,1.1680757762696143,1.073671136348488,2.1284798455865825,-2.8983814148639744,-3.084293203280519,0.5604181576657752,0.6025320744516457,-3,-3,1,19,124.59568506510209,57.29903168120721,57.16842105263158,0.22846639135858932
4,6.792823570491456,-6.268952489198735,1.0329268157657987,1.310608246274752,2.2346785833542526,3.039731808005887,-2.8053038749711545,0.6288218594956165,0.5217858995895223,3,-3,1,19,124.59568506510209,58.55680579443089,57.16842105263158,2.4285868250954668
5,-4.561231715803952,11.906530159866266,1.5893648559637406,1.31840202792094,4.058338450868433,-1.123916048654815,2.9338435677582333,0.37362265134417666,0.40392253295060615,-1,3,1,11,163.75081124018342,99.33131649067755,98.74545454545455,0.5933052290050651
6,-12.102499622362908,3.501035971784784,1.5893648559638265,1.5528287017685254,3.9710662004606725,-3.0476700743389595,0.881636264683434,0.43224088216375023,0.39646445446883544,-3,1,1,11,163.75081124018342,98.4524334979527,98.74545454545455,0.2967438337801859
7,-0.5344127094719175,13.823344345007596,1.5893648559638265,1.2119186241730455,4.7017718653125975,-0.11366198207415304,2.940028725551224,0.33775095838421804,0.33033660450928354,0,6,2,40,85.87164986187234,55.26697620429208,54.31,1.762062611475006
8,14.310123142896758,0.5092004169432094,1.5893648559608056,1.427367112644217,5.00084584160949,2.861540546567046,0.1018228581865916,0.35177238179551695,0.2856298230343149,6,0,2,40,85.87164986187234,56.625837048113674,54.31,4.264107987688587
9,-13.387716059690757,-0.3868240624701725,1.5893648559633642,1.2340385460576788,4.436144369080168,-3.017872040640258,-0.08719825828174754,0.3935620652334243,0.27849331729726756,-6,0,2,40,85.87164986187234,53.999971134410224,54.31,0.5708504245807006
10,0.3952180185271824,-13.76319402553364,1.2864216704761648,1.5528287016474591,4.662341164730826,0.0847681464232787,-2.9519920441789975,0.2761440170135532,0.3712035317199523,0,-6,2,40,85.87164986187234,55.08260147113303,54.31,1.4225768203517386
11,2.014311417562884,18.794129165473034,1.5893648559637945,1.552828701768385,8.101278542925982,0.2486411752033605,2.3198966762948823,0.1963847978995009,0.22214108768953295,0,4,2,20,121.44085185801357,95.68099752961895,108.61999999999999,11.91217314525966
12,-18.22099964990167,8.307148381775322,1.426891968163995,1.5528287017685265,8.926075512011572,-2.041322597527007,0.9306607781433871,0.19674882510741673,0.17405136884987824,-4,2,2,24,110.85982327546202,90.2678146189106,90.51666666666668,0.27492400783215687
13,8.617069518902166,18.77753066493768,1.589364855963825,1.391409702797465,9.401633983510319,0.916550201168838,1.997262465000435,0.1661149183471221,0.1884192044822967,2,4,2,24,110.85982327546202,91.83381346661523,90.51666666666668,1.4551428465644032
14,-9.717006248449566,17.760402714675152,1.556450668737688,1.5521570645063432,9.089704963691435,-1.0690122822758128,1.9539031008837546,0.17803827463779348,0.1936858158129985,-2,4,2,24,110.85982327546202,90.81590930079763,90.51666666666668,0.3305939614777553
15,18.345507052889005,10.017406217799492,1.5893648559638265,1.5528287017685372,9.584525668570198,1.9140756347544692,1.0451645250060528,0.18436716911472947,0.1706845186585639,4,2,2,24,110.85982327546202,92.41484340939984,90.51666666666668,2.0970466684586513
16,-17.733219362053823,-9.56704994609686,1.5893648559637483,1.415555040036126,9.018429147784158,-1.966331283581787,-1.0608332991613623,0.18908313319380182,0.1755781813801651,-4,-2,2,24,110.85982327546202,90.578386631527,90.51666666666668,0.06818629886980243
17,-8.63110334392845,-18.498850722329752,1.58936485596382,1.4504069217977376,9.215867117926134,-0.9365481547731697,-2.007282709876202,0.17167502479817226,0.19261275611802664,-2,-4,2,24,110.85982327546202,91.23178956960103,90.51666666666668,0.7900455565468834
18,19.089702014807145,-8.908737570411827,1.58936485595681,1.4037940530243822,9.708885363951381,1.9662094359138567,-0.9175860293386031,0.17850807353562761,0.15964366123592846,4,-2,2,24,110.85982327546202,92.80349634365106,90.51666666666668,2.5264183505627495
19,9.743176155835874,-18.438504183713945,1.5893648559636802,1.4867305698499014,9.54828339727333,1.020411287605707,-1.931080532127834,0.1676734922123923,0.18615483312774636,2,-4,2,24,110.85982327546202,92.30060741013786,90.51666666666668,1.9708422870239481
