,X,Y,sigmaX,sigmaY,Z,u,v,h,k,l,n,d_hkl,lambda_exp,lambda_the,lambda_error
0,0.0,0.0,0.0,0.0,1e-308,0.0,0.0,0,0,2,4,271.55,0.0,543.1,100.0
1,1.1979744508189716,-5.36452521015749,1.566291226063366,1.65422965139075,1.4111030805628193,0.8489631036317763,-3.801653673676232,2,-8,2,72,64.00494881040234,31.830547454607053,30.172222222222228,5.4961985238311275
2,-4.103330212264091,6.917908450673296,0.7409147525494475,0.9220351528441052,2.833346257417677,-1.4482275865583343,2.4416036100643432,-2,4,2,24,110.85982327546202,73.6663326317059,90.51666666666668,18.615725319419017
3,8.985709706470631,7.641181994681847,0.8878725049206717,0.9614586235173443,5.463849495025828,1.6445748944313034,1.3984978908438483,4,2,2,24,110.85982327546202,93.19223698280327,90.51666666666668,2.9558869263155056
4,-3.701408898438551,-5.837104588552549,0.9148515244248814,1.0039997037881172,2.1561596654182402,-1.7166673497347755,-2.7071764128470974,-4,-6,2,56,72.57479024131885,43.225800830944955,38.79285714285715,11.42721628304718
5,9.359075157042316,-5.64785667405996,0.8179214796126365,1.0776767872942603,4.81521423422187,1.9436466794202203,-1.1729190850783908,4,-2,2,24,110.85982327546202,89.3805492007507,90.51666666666668,1.2551472648675817
6,-2.108034759819733,12.696762473715218,1.3474618607586928,1.1493530357715942,6.298821670984417,-0.33467128773154753,2.0157361387452797,0,4,2,20,121.44085185801357,106.76560251097992,108.61999999999999,1.7072339247100654
7,-9.206806200403006,4.247422101150549,1.4469346327836876,1.1320643340593664,4.240992764450146,-2.1709082546847234,1.0015159980357184,-4,2,2,24,110.85982327546202,85.55646114485567,90.51666666666668,5.479880893181003
8,6.159095792663064,12.996679590831953,0.9299062953116052,1.1095313398377258,7.517081417004022,0.8193466920194419,1.7289528834199934,2,4,2,24,110.85982327546202,102.70295337442873,90.51666666666668,13.463030794802485
9,-9.183176667114102,-3.6445815998787134,1.1325845073695924,1.2350671799698156,4.057514315753101,-2.2632518218015565,-0.8982301271812655,-4,-2,2,24,110.85982327546202,84.22963969450707,90.51666666666668,6.945711992811204
10,2.368953644841365,14.937942001142668,1.566291226053445,1.4160685001074624,8.131576120153191,0.2913277339887628,1.837029104864513,0,4,2,20,121.44085185801357,115.01365099328957,108.61999999999999,5.886255747826905
11,15.295693799598183,5.064183302675426,1.3870337302405689,1.6542296513908632,8.96323288192609,1.706492958633395,0.5649951718745474,4,2,2,24,110.85982327546202,107.78673845272104,90.51666666666668,19.079438541028566
12,-10.77375693546144,0.4212509076000898,1.3424046632598166,1.4896271110139594,4.705485059376905,-2.2896166494019408,0.08952337586549927,-4,0,2,20,121.44085185801357,97.14989265577996,108.61999999999999,10.559848411176603
13,15.450154025490882,-2.9963593916701567,1.566291226063366,1.6542296513910355,8.646324812558696,1.786904188823637,-0.34654716965039023,4,0,2,20,121.44085185801357,116.9496572693056,108.61999999999999,7.668622048707065
14,-1.2198525195448782,-11.310377611362975,1.3526747660674612,1.6542296513743946,5.146375206004267,-0.2370313999106941,-2.197736690120685,0,-4,2,20,121.44085185801357,100.10970240312838,108.61999999999999,7.834926898243058
15,6.956618638630064,-11.447657458327486,1.4175837346309688,1.2017767894372104,6.716560775666032,1.0357411882333822,-1.704392745138572,2,-4,2,24,110.85982327546202,99.37775656519824,90.51666666666668,9.789456709848896
16,17.025009315240542,1.1554972953416902,1.3295682029791136,1.0734190013339422,9.778425523371904,1.7410787937739276,0.11816803150771853,4,0,2,20,121.44085185801357,120.75869492144429,108.61999999999999,11.175377390392468
17,2.881068551034749,-13.232157889990413,1.032676074726134,1.0729271686639006,6.834207983192943,0.4215658285671185,-1.9361655253295857,0,-4,2,20,121.44085185801357,109.42777133802545,108.61999999999999,0.7436672233708901
18,-11.233259043184589,13.404747963132516,0.9636549594693368,1.0751523595011263,10.146299329812255,-1.1071286858429839,1.3211465113931895,-1,1,1,3,313.5589311968858,314.6953801361526,362.0666666666667,13.083581254975357
19,-0.5465502718111042,19.55252080350427,1.566291226063362,1.5381931003668456,11.968153927243957,-0.04566704899800403,1.633712343805629,0,4,2,20,121.44085185801357,126.76419546248694,108.61999999999999,16.704286008549946
20,-15.7593422340544,9.153117962660128,0.9545963468470596,1.2213927523847978,10.787891573904801,-1.4608361723040681,0.8484621763163542,-1,1,1,3,313.5589311968858,319.44584097218166,362.0666666666667,11.771540884133232
21,-6.731806200708732,18.32920937701019,1.3347820510811597,1.0676568432760614,11.938029335156308,-0.5638959338861929,1.5353630706060082,-2,4,2,24,110.85982327546202,115.65294447501257,90.51666666666668,27.76977846622636
22,16.619690433042795,-12.681316370991333,0.9028586215777727,1.141405170242598,13.173905475584966,1.2615613846511848,-0.9626087263563153,1,-1,1,3,313.5589311968858,334.34268758230263,362.0666666666667,7.65714760201549
23,11.058714201983468,19.88260164212921,0.841046396144817,1.654229650191608,14.851821016994911,0.7446032502902508,1.3387315682957386,1,1,1,3,313.5589311968858,342.8032400656311,362.0666666666667,5.320408746373309
24,-15.321715326992786,-8.743019052389549,1.0041771455637185,1.3138383346557032,10.277952133089087,-1.490736201977988,-0.8506576932034994,-1,-1,1,3,313.5589311968858,315.7006105945225,362.0666666666667,12.805944413223402
25,-5.896135209591604,-17.7849720683058,1.44424836855289,1.155223292808928,11.238400172334153,-0.5246418635373268,-1.5825181338610372,-2,-4,2,24,110.85982327546202,114.04612303092415,90.51666666666668,25.99461207614524
