,X,Y,sigmaX,sigmaY
0,0.0,0.0,0.0,0.0
1,-7.862226510284641,-7.7541044321753105,0.6275588314607058,0.5910127929541851
2,7.944014781080412,-0.0016883941070844344,0.7231038210453798,0.6225436321920009
3,-8.085204872281626,-15.603444673846992,0.5739830473603472,0.6047565434435077
4,15.847320492503966,-8.019070359846763,0.6380335009020386,0.5950796724734169
5,-0.3152426562284893,-23.573997913470656,0.6769459610186582,0.6988280675045374
6,15.750588487253953,-15.998762402503292,0.5919187106250656,0.5755934372991804
7,7.615236099978153,-23.910955778815733,0.656537164865908,0.5437831234715339
8,-4.876732425340608,6.038917713497275,0.7245415386557936,0.8176086418602962
9,-13.765612768762551,-2.7903404127888005,0.6633337825505811,0.7190034400679157
10,12.93401694791612,5.854017114288179,0.7291850973391801,0.7311459987304173
11,-13.921840973358698,-20.459452438559996,0.845197017861718,0.7101963076990511
12,22.166799000213594,-3.0945787430320166,1.0271927807095602,0.7406072907373691
13,-5.361219635711548,-29.563477152043088,0.7381292176425653,0.6861239500331836
14,12.589806105414727,-29.962098222888496,0.7795121436102195,0.6493582387897963
15,21.71505425175362,-21.05180518083832,0.7482932797481299,0.7562827836127063
16,4.109540098913253,11.821020751864896,0.8619278886180124,0.7090724369223212
17,-19.638534692837847,-11.478823578330054,0.8341611554908144,0.6817716065253903
18,27.892852337525078,-12.143945033844922,0.8987807835386901,0.676384455723191
19,3.454457784978393,-35.716062306661904,0.7638932736279995,0.6430693923282237
