,X,Y,sigmaX,sigmaY,Z,u,v,h,k,l,n,d_hkl,lambda_exp,lambda_the,lambda_error
0,0.0,0.0,0.0,0.0,1e-308,0.0,0.0,0,0,2,4,201.4,0.0,402.8,100.0
1,-3.818134526635624,14.09739751190074,1.5533298251045504,0.771827220936615,7.700699643574325,-0.49581657555253184,1.8306645063950775,0,4,2,20,90.06881813369152,84.0154848051065,80.55999999999999,4.289330691542339
2,4.110782657116,13.991710963194098,1.558939821640337,0.7503701994868206,7.682378508888775,0.5350924394521416,1.8212733135975023,2,4,2,24,82.22120569942201,76.64367981458358,67.13333333333334,14.166355235228753
3,-11.891780089884133,-1.6357846403237928,1.5296188668739836,0.6951570217938642,5.623387119817647,-2.1147005953006053,-0.2908895662827562,-4,0,2,20,90.06881813369152,76.41891298726688,80.55999999999999,5.140376132985489
4,12.083022696842097,5.93920122257206,1.5652765862047258,0.728368430028729,6.771211901785829,1.7844697333508848,0.8771252928896914,4,2,2,24,82.22120569942201,73.88390109496295,67.13333333333334,10.055463398653838
5,-4.129035547849906,-9.709604263210483,1.5633101547839203,0.688222677662859,4.537033724373186,-0.9100738056383639,-2.1400776042395218,-2,-4,2,24,82.22120569942201,64.96013871233488,67.13333333333334,3.2371320074455685
6,11.904461562459366,-2.040192736937408,1.5330661012695124,0.7081399377005726,5.6805163019565335,2.0956654166029107,-0.359156215471947,4,0,2,20,90.06881813369152,76.6660676423476,80.55999999999999,4.833580384374863
7,3.7635280361313743,-9.904577348472358,1.5638614776804625,0.6973471094171046,4.569310063644696,0.823653458336204,-2.167630826210993,2,-4,2,24,82.22120569942201,65.11854085280913,67.13333333333334,3.001180457583228
8,-8.683139694923213,19.98932286369676,1.5756638094193791,0.7506279869154073,13.97853088724706,-0.6211768436155937,1.4300016950946888,-1,1,1,3,232.55668842958127,251.1095974953732,268.53333333333336,6.488481568257256
9,-17.619851148942473,11.228972375497891,1.5526705147821418,0.7700206902205899,13.163526828196613,-1.3385357418955761,0.853036767581553,-1,1,1,3,232.55668842958127,247.9291670804533,268.53333333333336,7.672852378182739
10,9.187380157512502,19.91434585498817,1.6014959561643969,0.8631591633404544,14.103715999628335,0.6514155671990708,1.4119928290893662,1,1,1,3,232.55668842958127,251.57565299022264,268.53333333333336,6.314925649122662
11,-17.885612588529693,-6.4785742553023375,1.556349001043314,0.7782633664346323,11.491092621093934,-1.5564762358365718,-0.5637909700083497,-4,-2,2,24,82.22120569942201,85.02570732922564,67.13333333333334,26.6519970147353
12,18.35486840049607,10.860096710585792,1.7186927551551852,0.8235999600624218,13.55510336557251,1.3540928390936573,0.801181401402549,1,1,1,3,232.55668842958127,249.48976963112435,268.53333333333336,7.091694526641885
13,-9.134459967245045,-15.515067658318165,1.5933963485597966,0.8182330989230425,10.595040260591691,-0.8621449038962803,-1.464370807162153,-1,-1,1,3,232.55668842958127,235.89232743830857,268.53333333333336,12.155290179378644
14,17.816010967272792,-7.09481520738947,1.5696994884957436,0.8297673526549385,11.627451297205347,1.532236989163297,-0.6101780197604186,4,-2,2,24,82.22120569942201,85.25864614884624,67.13333333333334,26.9989763885495
15,8.658345367529593,-15.906114290431134,1.5880391504837554,0.851633196189763,10.687470031970527,0.8101398499017068,-1.4882955688155888,1,-1,1,3,232.55668842958127,236.38918119105196,268.53333333333336,11.970265196976687
16,0.3260174729309969,26.02883238451681,1.6738894828129278,0.993914465850346,17.8855948958226,0.018227935656036934,1.4552958700074419,0,2,2,8,142.41130573097067,161.29511117001482,201.39999999999998,19.913053043686773
17,-23.603167760442105,2.4849547454259824,1.570141460982208,0.7671931317202969,15.754310870500664,-1.4982037586066759,0.15773173233993776,-2,0,2,8,142.41130573097067,157.5194565764081,201.39999999999998,21.78775740992646
18,24.108864120527997,1.8244018271654476,1.6894945747751875,0.8664741247257627,16.16420782689678,1.4914967920921887,0.11286676382183697,2,0,2,8,142.41130573097067,158.3007177350332,201.39999999999998,21.399842236825613
19,-0.3338497857868776,-21.58370879690636,1.6612588824472196,0.8695487190115251,13.790080729352791,-0.02420941489314589,-1.5651618884989187,0,-4,2,20,90.06881813369152,96.97837625801738,80.55999999999999,20.380308165364188
