,Nom,Persistence,SNR,CNR
0,nacl_10mm_35kVp_80images,20,9.198279756789274,6.748122737142089
1,nacl_10mm_35kVp_1images,20,5.962861688515425,4.984432890079234
2,nacl_10mm_35kVp_40images,20,7.8498084450357455,6.084866803332933
3,nacl_10mm_35kVp_10images,20,6.875685387861778,5.774718869588501
4,nacl_5mm_35kVp_10images,20,6.653396226973173,5.992389584269354
5,nacl_10mm_30kVp_10images,20,5.974334446299004,5.248135810557777
6,nacl_25mm_35kVp_10images,20,7.147208354849024,6.522742601398231
7,nacl_10mm_25kVp_10images,20,3.4908347308812857,2.794100826012437
8,nacl_20mm_35kVp_10images,20,7.172684182319899,6.437410174255977
9,nacl_15mm_35kVp_10images,20,6.439141783243401,5.666871907843282
10,nacl_10mm_35kVp_20images,20,7.505197066993581,6.190274294490825
11,nacl_10mm_35kVp_5images,20,6.472190596283548,5.491187104853145
12,nacl_10mm_20kVp_10images,20,1.5990905052275417,1.1536455766587614
13,lif_10mm_25kVp_10images,20,11.17974721452548,6.621950699906926
14,lif_10mm_30kVp_10images,20,11.871830109847744,7.244241237627163
15,lif_10mm_20kVp_10images,20,7.401027840889959,3.4037870526222216
16,lif_10mm_35kVp_10images,20,9.421537102944656,8.401991956590129
17,si_10mm_30kVp_80images,20,3.943901799785409,1.5857770205255894
18,si_10mm_25kVp_80images,20,2.921776215068604,0.4052520429211348
19,si_10mm_20kVp_80images,20,4.662233199167624,0.3443830789114199
20,si_10mm_35kVp_80images,20,8.177602118184925,2.7623985657839163
