,X,Y,sigmaX,sigmaY
0,0.0,0.0,0.0,0.0
1,-12.636469492571331,13.043998290116502,0.47305181124886847,0.4724460768410197
2,7.288480045499039,6.742601667146952,0.40481357355995407,0.44270158766756895
3,-13.438178297904683,0.35215089637843583,0.4922091924926862,0.4529016582763073
4,3.710726608451972,16.997010182258276,0.4418485238533872,0.4524081082494677
5,-2.654060323370859,-5.885891955765243,0.567249602006768,0.4210628300166922
6,4.093763263562883,-4.2190225900580245,0.4229243218520329,0.41138824647729155
7,-10.985157261718651,-5.571786830553171,0.480791370823075,0.44293028803916107
8,-16.37413151881937,16.89691326430455,0.42612695666711087,0.4355664943838748
9,-6.8592496552104665,-7.3808281322348686,0.4942858055286961,0.39888807098384654
10,-20.00013166023492,7.093540483269713,0.48783004669175273,0.4385667788438539
11,2.434788998465819,24.52514736865062,0.48736722817119704,0.4325381001665522
12,11.826784645466752,15.889433211961132,0.43864170772122396,0.4734233159745942
13,-14.980706101412318,24.130072432345134,0.45314704027576475,0.4299760113258907
14,12.46225642923797,-2.8426422532786164,0.5154074190329068,0.47159723204441095
15,-23.700027238283738,15.771925323562638,0.4529006639619624,0.46261335364631967
16,2.7274098649432363,-12.344088445547218,0.46940234633030314,0.42248813156454357
17,-24.591518336922242,-1.6963536265126096,0.455966773698328,0.4595058184229173
18,-16.167485258658672,-11.376994087671095,0.4450630215214298,0.44112113189840807
19,-29.019380758994046,22.283130201760606,0.52467885478142,0.5596868074198444
