,X,Y,sigma_X,sigma_Y,Z,u,v,sigma_u,sigma_v,h,k,l,n,d_hkl,theta,sigma_theta,lambda_the,lambda_exp,sigma_lambda,lambda_error
0,-5.820294610246148,6.525422318642253,3.091817829305373,5.661854795263217,2.011420883752727,-2.893623436675853,3.2441854270040738,2.6827714924139108,1.495089099365895,-3,3,1,19,129.39506221767422,0.22610188389197913,0.10785952526013384,59.37052631578946,58.015657152110926,27.20252981070829,2.2820568516978295
1,6.563085484964691,6.441558745684432,2.169664386279184,3.291348604347791,2.213059396267994,2.9656165108050825,2.910703055031959,1.4363402655741455,0.976245339260018,3,3,1,19,129.39506221767422,0.23616198459789806,0.06518633236421295,59.37052631578946,60.549869371241094,16.40133226465029,1.986411656818997
2,-6.463060724136526,-6.272699113504026,2.807249584603046,4.3066615394331365,2.1275410344242083,-3.0378077882223646,-2.9483328462342215,1.9403004578381715,1.2935548274092155,-3,-3,1,19,129.39506221767422,0.23196929593686738,0.08328996609796901,59.37052631578946,59.49443079308077,20.977292075484062,0.2086969494463663
3,6.867916940876804,-6.582972107004435,3.3505375338528074,2.564821732430444,2.359366514417413,2.9109156627039208,-2.7901439080269124,1.0626898070044923,1.368567778307941,3,-3,1,19,129.39506221767422,0.24310097343931128,0.06906536289332947,59.37052631578946,62.29429524668657,17.34788691667095,4.92461346114013
4,-3.4784851132751,11.750580896454736,2.4223942941538428,1.2876322141860888,3.7755828874315895,-0.9213107530639869,3.1122561063540277,0.5790535202087214,0.486977892748322,-1,3,1,11,170.05842856875023,0.2988661573263766,0.03724795500684156,102.5490909090909,100.14292436586025,12.107067824317815,2.3463558008170984
5,4.28511769747521,11.77875959612518,2.0276481968823568,1.8970528019911927,3.9340240563496742,1.08924542303163,2.9940741153104504,0.5040288247323796,0.5013379719980879,1,3,1,11,170.05842856875023,0.30413062697553483,0.04426206224415614,102.5490909090909,101.85269091128002,14.363397645751425,0.6790893918584222
6,-11.400238604478924,4.336661271297694,2.185226583885237,2.652954243125653,3.743322451295821,-3.0454866640015257,1.158505933624948,0.6206122096682095,0.6588395743765737,-3,1,1,11,170.05842856875023,0.29777475802798803,0.04999786101744105,102.5490909090909,99.78811658451097,16.256749598776373,2.6923440277276756
7,-11.847766624507882,-3.589173027342654,2.0731447435768926,2.4739531914552044,3.846092030589979,-3.080468831810681,-0.9331999855427499,0.562301847574521,0.6150839544489165,-3,-1,1,11,170.05842856875023,0.3012283280641947,0.04749485936157823,102.5490909090909,100.91044376349974,15.42644136934499,1.5979148435784911
8,12.456792948519306,4.157102375701051,1.920378555334013,2.445150419645923,4.281229560424613,2.9096297623629037,0.9710066505494157,0.4933163466587867,0.534416120248234,3,1,1,11,170.05842856875023,0.31514647937496915,0.04457746835144671,102.5490909090909,105.42117212783094,14.414857138735087,2.8006891073136053
9,-4.101154984410946,-12.248759743015563,2.5443499704522785,1.5252661734011883,4.155170670709747,-0.9870003687984313,-2.9478355316084635,0.5463683481079635,0.4856927152036038,-1,-3,1,11,170.05842856875023,0.311225903475763,0.04018943195179735,102.5490909090909,104.15258250480981,13.01242428079536,1.5636331648618824
