,X,Y,sigma_X,sigma_Y,Z,u,v,sigma_u,sigma_v,h,k,l,n,d_hkl,lambda_exp,lambda_the,lambda_error
0,0.0,0.0,0.0,0.0,1e-308,0.0,0.0,,,0,0,2,4,282.01,0.0,564.02,100.0
1,1.1056855755552906,-7.580018222500198,0.7306926177203785,1.145277260791726,1.5621884472424519,0.707779895253372,-4.852179156669808,0.49727774351826726,0.8239509294952977,1,-5,1,27,108.54569960944424,43.3796068555796,41.77925925925926,3.8304834137662827
2,-6.0984339648053645,6.200957362297474,0.4666260200824054,0.4516108136491599,1.9910672309439974,-3.0628970584353383,3.114388738826011,0.37492826208272395,0.3830362404281519,-3,3,1,19,129.39506221767422,57.75075603685094,59.37052631578946,2.728239716661818
3,6.210033964391771,6.3070977519633615,0.4633070314703099,0.4975942434668678,2.058514498629272,3.01675502821424,3.0639073740618032,0.37851600423426435,0.37280875441412054,3,3,1,19,129.39506221767422,58.621953050798155,59.37052631578946,1.2608499729473108
4,-6.545698751194016,-6.481490924986323,0.8494282173254828,0.6212487082501232,2.2201853787759056,-2.9482667590590896,-2.9193467297581606,0.39404886156727925,0.4630729585615436,-3,-3,1,19,129.39506221767422,60.63658779711762,59.37052631578946,2.132474747813465
5,6.546815608687315,-6.751760533831183,0.5300591798587359,0.5850763614877122,2.3087927982032497,2.8356011911429135,-2.9243683275023824,0.3680206784139109,0.3603192382868949,3,-3,1,19,129.39506221767422,61.69971056627023,59.37052631578946,3.923132225730873
6,-3.699675560270822,11.56651924929534,0.4994199160197385,0.4074612317068048,3.713405232611141,-0.9963026732930343,3.1148012470381947,0.1558227380197868,0.30436710796566463,-1,3,1,11,170.05842856875023,99.4570018507601,102.5490909090909,3.0152281516292816
7,4.027501281998682,11.593149820956302,0.4846633889078423,0.4911972440322878,3.7858185374715774,1.0638389669591815,3.062257133089898,0.1597182352142152,0.30158786158381645,1,3,1,11,170.05842856875023,100.25501706476525,102.5490909090909,2.23704942090548
8,-11.64592144744216,4.073259771496749,0.4940092435185437,0.4556524134324192,3.822441007506171,-3.046723657624259,1.0656174322894827,0.29850980731531607,0.15510928263836446,-3,1,1,11,170.05842856875023,100.65419763132462,102.5490909090909,1.8477913952899852
9,-12.120344965893368,-3.8347765816780055,0.4768683953222968,0.4376061116548839,4.036521357138987,-3.002670837962331,-0.9500201392210705,0.28878859544496177,0.1394027197283873,-3,-1,1,11,170.05842856875023,102.93078086006444,102.5490909090909,0.37220217906358966
10,12.192561903396628,3.960392154205125,0.4818477201423892,0.4449614331780107,4.098490260270005,2.9748910279448593,0.9663051276701626,0.2855270796335594,0.14012503259977577,3,1,1,11,170.05842856875023,103.57234541084237,102.5490909090909,0.9978191836518328
11,-4.384894058778023,-12.44082106529967,0.4754237924760645,0.3979026004608226,4.315943284690224,-1.015975829509249,-2.8825265404738993,0.13707857931400663,0.271592443987719,-1,-3,1,11,170.05842856875023,105.76534722124958,102.5490909090909,3.136308945936797
12,0.1439449345693627,12.974239059931085,0.5016705218216377,0.3962215750691985,4.188997258290641,0.0343626232470013,3.097218322177977,0.11978752914776647,0.2895241264489969,0,6,2,40,89.17939229440846,54.79812594609354,56.401999999999994,2.8436474839659094
13,12.44533027175864,-4.261165921653612,0.461641481615874,0.4759425007889244,4.294478701800006,2.897983931447198,-0.9922428815091268,0.275252200555058,0.13976409197275236,3,-1,1,11,170.05842856875023,105.55279192590558,102.5490909090909,2.9290371959293475
14,4.070888281207762,-12.765026842025462,0.4794430101763127,0.4045567603207039,4.43920768823412,0.9170303727841865,-2.875519177861057,0.13056365179712304,0.26873479453989324,1,-3,1,11,170.05842856875023,106.97003362892103,102.5490909090909,4.3110501328083535
15,-13.3606043983248,0.2139595827363541,0.4659140975297676,0.4398699686927974,4.417661086553625,-3.0243615652163762,0.04843277438995928,0.28279636650794354,0.09966501516209113,-6,0,2,40,89.17939229440846,55.986143652871114,56.401999999999994,0.737307803143293
16,13.927945566428912,-0.1116177772169033,0.4432422101856808,0.4403730645398588,4.75961612658697,2.92627497596458,-0.023451004082747803,0.26748607868052304,0.09254477011520136,6,0,2,40,89.17939229440846,57.67438917867649,56.401999999999994,2.2559291845617144
17,-9.733274014844492,10.02458047371876,0.446333903580653,0.436148025014921,4.786593354911798,-2.033444935291322,2.0943037627025416,0.19659265754863067,0.2019878443194735,-4,4,2,36,94.00333333333333,60.930089690584964,62.66888888888889,2.7745811823579496
18,-0.1873951517023766,-14.203559586399088,0.4882414427203458,0.3907567731346889,4.929810768239477,-0.03801264602480852,-2.8811571587911944,0.0990808897207178,0.2588954961502662,0,-6,2,40,89.17939229440846,58.47825377320649,56.401999999999994,3.6811704783633483
19,10.303238611538363,10.148702820705228,0.4607202537413012,0.4527263075318486,5.090103828897895,2.02417061770805,1.993810570835176,0.19255694800480225,0.19086724591441342,4,4,2,36,94.00333333333333,62.41782473341585,62.66888888888889,0.4006200842624988
20,-10.671136728433536,-10.303280857240422,0.4673645426512751,0.4574813905248043,5.32446688565679,-2.0041699868919776,-1.9350821553601378,0.18807502873624488,0.18364740585460915,-4,-4,2,36,94.00333333333333,63.51706965537487,62.66888888888889,1.3534319524793152
21,10.744159926632918,-11.008232749390938,0.4540451915922894,0.4288569651408533,5.677376560629092,1.8924515243784343,-1.9389647017127134,0.1734873113773086,0.17841317909120294,4,-4,2,36,94.00333333333333,65.09765004844051,62.66888888888889,3.875545270728811
